용천수 명칭,위치,경도,위도,요약,세부내용
제주자리물,조천읍 조천리 3091(북쪽 50미터 바다),126°38′1″,33°32′11″,바다 위 빌레에서 용출되는 용천수,"해안선에서 50미터 정도 떨어진 바다 위 빌레에서 용출되는데 간조시에는 물이 없다가 만조시 바닷물의 압력에 의해 암반사이로 물이 솟아나는 특이한 형태의 용천수이다. 밀물 때 다른 물들이 잠기면 제주 자리물에 가서 솟아나는 물을 길어다 식수로 사용할 정도로 물이 솟아나던 곳이다. 용출량도 많았었고, 예전부터 돌담이 둘러져 있었다. ""제주자리물은 빌레 가운데 있는데 썰물로 간조가 되었을 때도 단물이 나오고, 밀물 때에 만조가 되면 다른데 물은 짠물이 나오지만 돌동산에 있는 빌레 틈으로 짠물이 나오지 않고 단물이 올라오니까 제주 자리물에서는 목욕을 할 수 있지"" 동네 아이들이 바다에서 헤엄치고 나서 목욕을 하거나 빨래를 하는 등의 용도로도 사용하였던 곳이다."
엉물 남탕,조천읍 조천리 3093-1(북쪽 3m 바다),126°38′1″,33°32′9″,커다란 바위(엉덕) 밑에서 솟는 물,"엉물(남탕)은 커다란 엉 밑에서 샘솟는 물로 달기도 하고 시원했다. 주로 남성들 목욕하는 곳으로 이용하였으나, 밭에 일하러 갔다 와서 여탕에 물을 길을 사람들이 많고 바쁘거나 급한 경우에는 물허벅을 지고 가서 벌거벗은 남성들이 목욕하고 있는 남탕에서도 물을 길어다가 물항에 채워 두었다가 식수나 생활용수로 사용했었다. 요즘에도 여름이 되면 남성들이 목욕하는 곳으로 이용하고 있다. 엉물(남탕)도 엉물 빨래터 물보다는 별로 좋지 않았으며 길가에서 안쪽으로 좀 들어간 곳에 위치하고 있다. 탕이 2개인데 동쪽 탕은 크고 그늘막이 있는 반면에, 서쪽에 있는 탕은 작고 그늘막도 없다."
엉물 여탕,조천읍 조천리 3093-1(동쪽 3m 바다),126°38′1″,33°32′9″,수량이 풍부하고 얼음장처럼 차가운 엉물 여탕,"엉물(여탕)은 마을 사람들이 가장 많이 이용했던 곳으로, 인근에 거주하는 상동 동네사람들은 아래칸의 위쪽에서는 채소를 씻었으며, 아래쪽에서는 빨래를 하고, 주로 여성들이 목욕을 하는 장소로 많이 사용하였다. 밀물 때는 바닷물이 들어오면 사용하지 못했다고 하며, 남성들은 이곳에 얼씬도 하지 못했다. 지금은 여성들도 이곳을 잘 이용하지 않는다고 한다. 1969년도 이후 상수도가 보급되면서 용천수 이용도가 많이 떨어졌으나 지금도 용출량이 많아서 동네사람들은 채소를 씻거나 빨래를 하고 여성들이 목욕을 하는 장소로 이용하고 있다. 엉물(여탕)은 엉물 빨래터 물보다는 별로 좋지 않았으며 길가에서 안쪽으로 좀 들어간 곳에 위치하고 있다."
엉물 빨래터,조천읍 조천리 3093-1(동쪽 5m 바다),126°38′1″,33°32′9″,3개의 엉물 중에서 가장 좋은 빨래터 물,"길가에 위치하고 있어서인지 많이 들어가지 않아도 되는 곳으로 빨래판용 돌들을 가지런히 놓아서 주로 여자들이 빨래를 하는 용도로 이용하고, 동네사람들이 간헐적으로 채소를 씻는 장소로 많이 사용하였다. 지금도 썰물이 되면 물이 펑펑 솟아나오지만 빨래하는 사람을 찾아 볼 수 없다. 길가 쪽으로 벽이 있고 빨래터로 내려가는 계단이 놓여 있으며, 쓰레기도 없이 관리가 잘 되고 있지만 이용을 하지 않아서인지 파래 등 해조류가 생장하고 있다."
세물(샘물),조천읍 조천리 3090-1,126°38′4″,33°32′9″,가늘게 솟아나는 세물,"초등학교 뒤편에 있는 카페(시인의 집) 옆에 있는 물로서, 용천수가 가늘게 솟아난다고 하여 세물이라고 한다. 옛날에는 물이 좋아서 인근에 거주하는 동네사람들이 쓸 수 있도록 돌팡과 빨래팡도 만들어서 사용했으며, 식수나 야채를 씻거나 여성들이 목욕을 하는 장소로 많이 사용하였었다. 지금은 물이 약하고 좋지는 않은 물이나, 현무암으로 울타리도 만들어져 있는데, 쓰레기가 많고 물이 혼탁한 것을 볼 수 있다."
수룩물·수덕물(여탕),조천읍 조천리 3096-12,126°37′56″,33°32′10″,지성을 드리면 자식을 얻는다는 수덕이 좋은 물,"수룩물(여탕)은 아이들을 못 낳은 여자들이 자식을 점지해 달라고 기원하던 곳이다. 옛날에는 밑바닥이 보이지 않을 정도로 맑고 좋았으며, 수량이 풍부하게 나와서 마을 사람들이 가장 많이 이용했던 곳이다. 지금도 용출량이 많아서 동네사람들은 이곳에서 채소를 씻거나 빨래를 하는 용도로 이용하고 있고, 여성들이 목욕을 하는 장소로 이용되고 있다. 하지만 수룩물을 정비한 후로 턱이 높아져 사용하기가 불편해졌다고 한다."
수룩물(남탕),조천읍 조천리 3095-11,126°37′56″,33°32′10″,용출량이 많아 지금까지 남성들이 목욕을 하는 물,"예전에는 남탕으로 가려면 다리를 건너 다녔으므로 여탕은 볼 수가 없었다. 물통은 외부에서 쉽게 볼 수 없도록 현무암과 시멘트로 울타리도 둘러져 있고, 내려가는 계단도 설치되어 있다. 지금은 도로공사를 하면서 매립하여 포장되어 있고, 입구 주변에 쓰레기 수집 장소가 설치되어 있어 사용하지 않을 때에는 수룩물(남탕) 내부에 장판지, 빨래건조대 등 폐기물 등도 방치되어 있다."
수암정 알물(작은 수룩물),조천읍 조천리 3094-5(서쪽 5m 바다),126°37′59″,33°32′9″,엉안에서 풍부하게 샘솟는 물,"엉(엉덕)으로 되고 깊어서 ‘고망물’이라고도 하는데 물이 아주 시원하고 좋았다고 한다. 마을 사람들이 가장 많이 이용했던 곳으로, 여기에서 장어도 낚았었으며, 샘솟는 물이 워낙 달고 좋아서 인근에 사는 상동 동네사람들도 많이 사용하였다. 도로 쪽으로는 시멘트벽이 설치되어 있고, 바다 쪽은 큰 현무암으로 담이 둘러져 있으며, 쓰 레기도 없고 물도 깨끗하게 관리되고 있다. 물팡이 있는 곳은 물허벅을 내려놓고 물을 길었 으므로 식수나 생활용수로 사용했던 곳이고, 빨래팡이 있는 곳은 채소를 씻거나 빨래를 하는 장소로 사용했던 곳이다. 수암정이 있는 곳은 원래는 바다였으며, 도로 중앙에서도 단물인 용천수가 나오는 곳이었는 데 도로가 생기면서 매립을 하는 바람에 물이 나오지 않게 되었다."
개낭개 엉물,조천읍 조천리 2422-2,126°38′6″,33°32′18″,가난한 사람들의 생명수였던 엉물,"가난한 사람들이 살던 포구의 이름을 따서 개낭개라고 하는데, 이곳에서 나오는 대표적인 용천수로서, 커다란 엉 밑으로 용천수가 흘러나와 개낭개 엉물이라고 했다. 개낭개 엉물은 원래 물이 좋고 용출량도 많은 아주 큰 물이었는데, 들물 때 단물이 나오는 곳이어서 동네사람들이 가장 많이 먹었던 물이다. 동네사람들이 쓸 수 있도록 돌팡과 빨래팡도 만들어서 사용했다. 입구 계단 내려가는 곳에 방부목으로 만든 작은 울타리가 되어있으나, 파래 등 해초류가 생장하고 있고 뻘흙 등이 빨래터 등을 덮고 있다. 엉물이 나오는 주변은 원래 바다였으나 공유수면 매립허가를 받아서 매립하여 도로도 개설하고 주차장을 만들어서 활용하고 있고, 집도 지어져 있다. ‘○○○ 게스트하우스’ 건물이 개낭개 엉물 물통의 바로 옆에 위치하고 있고, 그 아래로 복개된 상태로 아주 조금 남아있는 상태이다."
도릿물,조천읍 조천리 2428(북쪽 5m 바다),126°38′7″,33°32′19″,징검다리를 건너서 가는 도릿물,"양진사 절 옆에 있는 물로 엉물보다 더 시원하고 좋아 동네사람들은 도릿물을 많이 먹었다. 썰물일 때는 물이 많이 나오지 않았지만 밀물일 때는 많이 나왔는데, 물이 나올 때 물이 나오는 구멍을 막고 물을 받아서 길어다 먹었다. 동네사람들이 쓸 수 있도록 돌팡과 빨래팡도 만들어서 사용했으며, 도릿물의 흘러가는 곳을 칸을 나누어서 사용했다. 지금도 용천수는 세게 나오고 있는데 동네에서 물이 좋기로 유명하여 마을 사람들이 제사 때는 이 물을 사용해 제사 음식을 만들었다고 한다."
생이물,조천읍 조천리,126°38′11″,33°32′27″,새가 먹을 만큼 물이 아주 조금씩 나오는 생이물,"생이물은 빌레물 옆에 있는 것으로 암석 사이로 용출하며 양이 적고, 돈지 영감이 식수로 사용하던 용천수라고 한다. 아래쪽에 있는 ?근돈지물이 들어버리면 생이물이 아주 소량이기 때문에 동네사람들은 물허벅을 지고 와서 조그만 그릇(박세기)을 이용하여 물을 떠서 길어다가 사용하였다. 근처 몇 가구만 사용하였으며, 일부 가구에서는 식수로는 사용하지는 않고 오직 빨래하던 용도로만 이용하였다. 바닥에는 빨래판으로 사용하던 시멘트 구조물이 아직도 남아있다."
가남포 남탕(신남머들 남탕),조천읍 조천리,126°38′1″,33°32′19″,물이 얼음장처럼 차가워 어른들도 2분을 견디기 어려운 물,"조천리 중상동에 있는 고유 포구인 개낭개 포구 옆에서 나오는 물로써 개낭개물이라고 한다. 바다 가운데 있는 것으로 제주도 돌빌레(암반)에서 용천수가 솟아나오는 곳이다. 예전에는 남탕은 여기 밖에 없었으며, 규모가 크지는 않아도 물이 아주 시원했었고, 용출량도 많고 물살도 센 편이었으나 지금은 용출량이 많이 줄어들었다. 개낭개 포구부근 동네에서 생활했던 남자들이 목욕을 하는 곳으로 사용했던 대표적인 곳이었으나 밀물 때는 사용하지 못했다. 현재 용천수도 나오고 있으며, 현무암으로 담장 울타리도 잘 정비되어 있으나, 현재는 사용하지 않고 있다. 뒤로는 용암이 흘렀던 흔적으로 15평 정도 되는 멋있는 바위(용암선반)가 있으며, 왼쪽과 오른쪽에 원담이 있는데 주변정비와 함께 바다쪽으로 데크를 설치하여 탐방, 원담체험, 남탕까지 가서 물에 발을 담그는 등 힐링투어를 하는 곳으로 만들 예정이라고 한다. 개낭개지역에서는 물이 좋아서인지 조천리 중에서도 유력인사(인재)가 많이 배출되었다고 한다. ※ 원담 : 밀물 때 원담 안에 들어 왔던 물고기가 썰물 때 나가지 못한 것을 뜰채(족바지)를 갖고 가서 잡았던 곳"
궷물·궤물,조천읍 조천리 3104-11,126°38′27″,33°32′54″,궤(엉 또는 엉덕)에서 물이 나오는 물,"양어장 중간지점인 일주도로 가까이 수운교(절) 앞에서 솟아났던 물이다. 수운교에 다니는 사람들은 식수 및 생활용수, 채소를 씻거나 목욕을 하는 장소로 많이 사용했고, 동네사람들도 많이 사용하였다. 옛날에는 울타리 담장이 있었으며, 길에서 사람들이 지나다녀도 잘 보이지 않아서 동네사람들은 야간에 목욕을 하기도 했다. 인근 수룩물에 바닷물이 들거나 하면 궷물에 와서 물을 길어다 먹는 등 여기 물을 자주 사용하였다. 도로확장 공사를 할 때에 돌담을 가져다 쓰기도 하면서 담도 허물어져 버렸으며, 지금은 현무암으로 원담형태의 울타리만 둘러져 있는 상태로서 유지되고 있다. 수운교에 다니던 신도들이 물통 정비를 위해 걱정을 하던 차에 양씨 형제가 도와준 덕을 기리는 기념비를 세워서 지금까지 유지되고 있다. 비명 : 양윤선, 양윤우 기념비 / 비문의 내용: 감사 김두옥씨 이 물을 닦지 못한 것을 걱정 중에 우에 쓴 형제분이 돈 2만환 내여 수정하였기 길이 기념하여 이 돌을 세움 / 건립일: 단기 4291년 10월 15일"
족은돈지물(남탕),조천읍 조천리,126°38′10″,33°32′27″,돈지 영감의 이름을 딴 족은돈지물,"족은돈지물은 빌레물인데 큰물 건너에 있어(연북정 가기 전), 돌다리를 건너서 가야 한다. 예전부터 남성 목욕용으로만 이용되었으며, 밀물 때는 바다 가운데에 있어 사용할 수가 없었다. 근처에 있는 큰물에 크기로는 비교가 안 되지만 물맛이 차고 달콤해 돈물ㆍ단물이라고 불리며, 물기운 만큼은 조금도 처지지 않는다고 한다. 큰물 옆에 있는 족은돈지물은 조천리 용천수 중에서 넓은 곳으로서 용출량이 많은 곳이었다. 현무암과 시멘트로 담장 울타리 등 경계시설과 바닥이 잘 정비되어 있고, 용천수도 나오고 있으나, 현재는 사용하지 않고 있다."
큰물(여탕),조천읍 조천리 2708,126°38′11″,33°32′27″,"조천리 용천수 중에서 제일 넓고, 용출량이 많은 물","큰물에서는 두 군데나 물이 나오는 양이 많기 때문에 허벅 채 담가서 물을 긷기도 했고, 만조가 되면 두레박을 이용해서 물을 길기도 했었다. 물통 둘레에는 물허벅(물항아리)을 지고 놓기 편리한 높이로 ‘물팡’도 만들어졌는데 좋은 데를 서로 다투면서 이용하기도 했었다. 추석과 같은 명절 때에는 물을 길러 오는 사람들이 너무 많아 줄이 아주 길었다고 하고, 썰물 때는 남쪽 물이 달고 북쪽 물은 짠맛이 많이 나서 남쪽 물만 먹었으며, 반대로 밀물이 들어 올 때는 두 물이 모두 달았다고 한다. 큰물은 밀물 때면 물팡 돌 이상의 높이까지 바닷물이 들어와 이용할 수 없는 불편함도 있었다. 큰물은 햇볕을 막으려 지붕을 씌웠는데 이끼가 끼어 미끄러지는 일도 있어서 지붕을 걷어내었고, 현무암으로 둥글게 담을 쌓아서 내부를 들여다 볼 수 없게 정비되어 있다. 큰물은 바닷가에 인접하여 조석에 따라 수량을 달리 하기도 하지만 일년 내내 물이 마르는 일도 없어 현재도 두 군데로 나뉘어서 다른 용도로 활용되고 있다. 한 때 일부 마을사람들이 이 샘물을 메워버리자고 했지만 지금까지 메우지 않고 보존·관리하고 있다. “조천리에서 인물이 나고 마을이 융성한 것 모두가 누구의 덕인지 아느냐! 가당치도 않은 소리”"
절간물,조천읍 조천리,126°37′54″,33°32′12″,절(고관사)에서 공양용으로 사용한 물,"바위틈으로 용천수가 나오는 곳으로 용출량이 많았으며, 절(고관사)에서 공양용이나 식수, 채소를 씻거나 세탁을 하는 용도, 야간에는 여성들이 목욕을 하는 용도로 사용했던 곳이며, 지금도 용출수를 내뿜고 있는 곳이다. 절간물은 수룩물보다 바닷물이 늦게 들어오므로 해녀들이 물질 다녀올 때는 절간물로 가서 목욕을 하고 왔으며, 요즘에도 마을 남성들이 여름에 목욕하는 용도로 사용하고 있다. 지금도 물이 좋고 용출량이 많기 때문에 생선을 손질하거나 채소를 씻기도 한다. 절간물 서쪽 옆에도 용천수가 나오고 물이 좋았는데 동네사람들은 조그맣게 담장을 둘러서 남자목욕탕으로 사용했었다. 주택의 뒤쪽 문에 접하고 있는 물통 보다 아래쪽에도 물통이 있었는데 썰물일 때에는 그곳의 물을 길어다가 식수, 생활용수로도 썼으나 밀물이 들어오기 시작하면 염분이 많아서 물을 먹거나 사용할 수 없었으며 지금은 많이 메워져 버렸다."
큰물,조천읍 신흥리 113-9,126°39′05.83″,33°32′50.63″,"신흥리의 대표적인 생명수, 새벽 단물을 기다리면서 짠 탕건, 규모가 작고 솟아나는 물이 작은 ‘작은물’","‘큰물’은 함덕고등학교에서 바닷가 쪽으로 내려가 해안도로와 만나기 바로 전에 자리하고 있다. 이 물은 여자전용으로 마을의 대표적인 용천수이다. ‘큰물’은 늘 흐르는 물이고 물맛이 좋았다. 제일 처음 솟는 물은 사각 형태의 식수통에 모여지고 이 물은 식수로 음용하였다. 여기에서 넘친 물은 채소를 씻는 물로 이용되었다. 그러나 바닷물이 많이 들어와서 짤 때도 있었다. 그때는 할 수 없이 바닷가에서 조금 더 올라간 조개물이나 구녕물 또는 생이물(신흥리 서쪽-멸실)을 길어다 먹었다. 신흥리는 남자만 이용하는 물과 여자만 이용하는 물이 있었는데, 예전부터 여자물통은 크고 남자물통은 작았다. 돌담을 쌓아 칸을 가른 동카름 사람이 드나드는 여자물통(큰물)과 서카름 사람이 드나드는 남자물통(소나이물)이 따로 있었다. 그러나 칸만 나눠졌지 서로 통하게 되었었다. 남탕엔 거의 남자만 출입했는데 추운 겨울 남자들이 목욕을 안 할 때 동카름(동쪽) 사람들은 남탕에 와서 빨래를 했다. 바가지 없이 물속에 허벅을 들여놓고 그 채로 물을 길었을 만큼 용출수가 풍부하였다. 물때가 ‘조금’인 날 밤에 큰물을 길어오려면 촛불을 켜서 물을 길어 와야 했다. 물맛이 짜기 전에 물을 길어 와야 하는데 그 시간이 새벽이라 그때까지 자지 않으려면 무엇인가를 해야 했고, 그때에는 탕건을 짰다. 탕건은 갓 안에 받쳐 쓰는 건(巾)으로 말총으로 뜨는데, 신흥리는 제주에서 탕건을 만드는 중심마을이다. 신흥리의 물을 먹은 사람은 몸이 아프지 않는다고 믿었고 물맛은 다른 마을보다도 모두 좋았다고 한다. “옛날 할망들이 곧는 말을 보믄 우리 신흥물은 어떤 사름이라도 왕 먹으민 약물이랜 허영 영 뭐허질 못허연”이라고 말하고 있듯이 ‘큰물’에 대한 자부심이 대단하다. “물(바닷물)이 하영 들어오믄 작은물이라도 질어오라(큰물 물맛이 짜면 작은물이라도 길어와라.)” 예전에는 ‘큰물’ 담장위로 바닷물이 차 올라와서 물통의 기능을 못할 때는 아이들이 담장 위로 올라가 물통쪽으로 다이빙을 하기도 했다. 어떤 때는 큰물이 바다와 면해 있어 듬북이 밀려 올라왔는데 그것을 걷어다가 큰물 옆 길가에 널어 말리기도 했다. 2007년에 지붕을 올리고 현대식으로 이용하기 좋게 물통 안을 개보수 했다. 상수도가 보급된 후로는 식수로 이용하지 않지만 여전히 여름에 몸을 헹구는 장소로 이용되고 있다. 매년 여름철이 오기 전에 물통 바닥청소를 하고 있는데 마을 부녀회에서 담당하고 있다. ‘정유(丁酉:1957년)에 준공된 우물 굴착 공사에 도(도), 면(면), 재일(재일)친목회로부터 거액을 보조받은 바 그 성심과 성의를 영구히 잊지 말기 위하여 비를 건립하였다.’ 1962(壬寅)년에는 ‘음료수 개선의 건’으로 방조제 공사를 완성하고, 그 후 ‘큰물’이 위생상 불결하고 사용하는데 불편하다고 생각한 재일교포 김창식(金昌植)씨가 수리비용으로 일금 2만원을 희사하였다. 이에 주민들은 고마움을 표시하여 기념비를 세웠다. 위와 같이 마을사람들의 향토 재건 사업 중 식음수에 대해 공동으로 노력하는 모습을 엿볼 수 있다. 큰물로 들어가는 입구에는 ‘작은물’이라는 물통이 따로 하나가 있다. 이렇듯 ‘큰물’ 다음에는 ‘작은물’을 길었고, 이 ‘작은물’마저 짜버리면 그 때는 멀리 떨어져 있는 ‘조개물’을 길러 갔다. 해안도로가 생긴 후부터 바닷물이 유입이 안 되어 ‘큰물’이 점점 담수화되었다고 한다."
굴물,조천읍 함덕리 169-1번지,126°40′42.66″,33°32′50.17″,진지동굴을 파 놓은 자리에 고이는 물,"이물은 오랜 가뭄에도 거의 메마르지 않아서 과거 소풍이나 밭일을 왔을 때 식수로 사용했고, 방목하던 소와 말 그리고 새들도 이 물통까지 자연스레 찾아와 목을 축이곤 했던 생명수였다. 70여 년 전까지 인근에 절이 있었는데 음용수로 이용되었다고 전해지고 있다. 물 앞에는 잡석을 2단 높이로 쌓아 동그랗게 경계담을 만들고 지나가는 사람들이 훼손하지 못하도록 단장하였다. 오름 중턱에 있어서 인지 잘 보존되었다. 2016년 7월에 설치한 안내판에는 다음과 같이 적혀있다. 태평양 전쟁 시기(1945년 3월 전후 추정)에 일본군에 의해 망오름 남쪽 중턱에 J형 진지 동굴이 구축되었다. 안으로 빗물이 흘러들어 고이면서 자연스레 생긴 물이라고 한다."
고도물(고두물),조천읍 함덕리 960-21번지(남탕),126°40′0.9″,33°32′26″,함덕리 역사와 함께 해 온 살아있는 생명수,"이 물통은 함덕해수욕장 입구 동쪽의 주차장 입구의 도로변 양 옆에 있는 용천수이다. 주호국시대 주민들이 물류의 중심지인 감영개를 중심으로 교역 및 생활을 하면서 이용했다고 전해오고 있으며, 또한 삼별초군이 함덕에 주둔 당시 이용했다고 전해지는 용천수이다. 이렇듯 예부터 모든 것에 활용했던 물이라 해서 ‘고도물(古都水)’이라 불러 전해오고 있다(함덕향토지, 함덕리, 2017년). 또한, 바다 가까이에 있는 동산이 섬처럼 보여서 ‘높은 곳에 있는 동산의 물’이란 의미로도 추정 하고 있다(섬의 산물 샘, SPRING,제주발전연구원, 제주학총서24, 2016년). ‘고두물’은 원래부터 남녀를 구분하여 남자용과 여자용 물통이 따로 되어 있었다. 이 중 ‘고도물 연못’은 도로개설로 매립되었고, 지금은 여탕과 남탕 두 곳으로 개보수 되어 있다. 그래서 옛 모습을 찾아볼 수는 없다. 남탕은 70년 전에는 원래 식수용 이었는데 도로가 나고 수도가 개설되면서 남자만 이용하는 곳으로 바뀌었다. ‘고두물’ 남자용 물통의 크기는 가로 세로 1m 정도의 정사각형의 물통이다. ‘고두물’의 여자용 물통은 세 칸으로 구분되어 용천수의 전형적인 모습을 보여주고 있다. 첫째 칸은 식수로, 둘째 칸은 채소 및 생활용기를 씻는 물로 사용했고, 셋째 칸은 빨래와 목욕 용도로만 이용되었다. 남자용 물통은 주로 목욕하는 장소다. 2017년에 지붕을 받쳐 있던 썩은 나무기둥을 스텐 기둥으로 보수하였다. 물통 맨 앞 칸 벽면에는 ‘己巳七修’라는 수리기념석이 부착되어 있다. 개인소유였던 것을 함덕리에서 6.700만원에 구입하여 공동물통으로 보존하고 있다. 입구 주위에 나무를 심고 화단을 꾸몄으며, 내부는 현대식으로 개보수하여 목욕과 빨래를 할 수 있게 만들었다. “물통 앞에 00슈퍼가 있어요. 그게 우리 오빠네 집인데 그 오빠가 거기 청소를 다 해서 새마을운동에서 상까지 탄 사름(사람)이라. 그 오빠가 그 주위를 다 청소해. 그래서 그 고주물이 깨끗해진거라....” 고두물 주위에 있는 상가 주민이 자발적으로 물통청소와 관리를 하였기에 지금까지 깨끗하게 유지되었다. 지금은 장마철이 지나면 동네 청년들이 모여 물통청소를 한다. 지금도 전기를 설치해서 저녁에도 이용할 수 있도록 했다(전기료는 리사무소에서 지출한다)"
고도물(고두물),조천읍 함덕리 1002-109번지(여탕),126°40′10″,33°32′26″,함덕리 역사와 함께 해 온 살아있는 생명수,"이 물통은 함덕해수욕장 입구 동쪽의 주차장 입구의 도로변 양 옆에 있는 용천수이다. 주호국시대 주민들이 물류의 중심지인 감영개를 중심으로 교역 및 생활을 하면서 이용했다고 전해오고 있으며, 또한 삼별초군이 함덕에 주둔 당시 이용했다고 전해지는 용천수이다. 이렇듯 예부터 모든 것에 활용했던 물이라 해서 ‘고도물(古都水)’이라 불러 전해오고 있다(함덕향토지, 함덕리, 2017년). 또한, 바다 가까이에 있는 동산이 섬처럼 보여서 ‘높은 곳에 있는 동산의 물’이란 의미로도 추정 하고 있다(섬의 산물 샘, SPRING,제주발전연구원, 제주학총서24, 2016년). ‘고두물’은 원래부터 남녀를 구분하여 남자용과 여자용 물통이 따로 되어 있었다. 이 중 ‘고도물 연못’은 도로개설로 매립되었고, 지금은 여탕과 남탕 두 곳으로 개보수 되어 있다. 그래서 옛 모습을 찾아볼 수는 없다. 남탕은 70년 전에는 원래 식수용 이었는데 도로가 나고 수도가 개설되면서 남자만 이용하는 곳으로 바뀌었다. ‘고두물’ 남자용 물통의 크기는 가로 세로 1m 정도의 정사각형의 물통이다. ‘고두물’의 여자용 물통은 세 칸으로 구분되어 용천수의 전형적인 모습을 보여주고 있다. 첫째 칸은 식수로, 둘째 칸은 채소 및 생활용기를 씻는 물로 사용했고, 셋째 칸은 빨래와 목욕 용도로만 이용되었다. 남자용 물통은 주로 목욕하는 장소다. 2017년에 지붕을 받쳐 있던 썩은 나무기둥을 스텐 기둥으로 보수하였다. 물통 맨 앞 칸 벽면에는 ‘己巳七修’라는 수리기념석이 부착되어 있다. 개인소유였던 것을 함덕리에서 6.700만원에 구입하여 공동물통으로 보존하고 있다. 입구 주위에 나무를 심고 화단을 꾸몄으며, 내부는 현대식으로 개보수하여 목욕과 빨래를 할 수 있게 만들었다. “물통 앞에 00슈퍼가 있어요. 그게 우리 오빠네 집인데 그 오빠가 거기 청소를 다 해서 새마을운동에서 상까지 탄 사름(사람)이라. 그 오빠가 그 주위를 다 청소해. 그래서 그 고주물이 깨끗해진거라....” 고두물 주위에 있는 상가 주민이 자발적으로 물통청소와 관리를 하였기에 지금까지 깨끗하게 유지되었다. 지금은 장마철이 지나면 동네 청년들이 모여 물통청소를 한다. 지금도 전기를 설치해서 저녁에도 이용할 수 있도록 했다(전기료는 리사무소에서 지출한다)"
중툭굴물,조천읍 함덕리 산 13번지,126°40′15.33″,33°32′40.32″,"중툭개굴 바위 아래서 용출되는 물, 캠핑과 해수욕장 피서객들이 이용하는 ‘중툭굴물’","함덕해수욕장 동쪽 바다 쪽으로 둘출된 현무암 사이에서 솟아나는 용천수로 엉(바위)아래 있어서 ‘엉알물’, ‘엉물’이라고도 불렀다. 또 함덕해수욕장 백사장인 ‘샛사시미’ 언덕을 건너 ‘중툭굴개’란 어로시설이 있었던 바위 아래서 용출되는 산물이라 ‘중툭굴물’이라고도 한다. 이 용천수는 함덕해수욕장 동쪽 언덕에 있는 ‘서우제당’에서 바닷가로 계단을 따라 내려가면 바위언덕 아래 있다. 예전에는 바닷가에서 캠핑하던 사람들이 식수로 주로 이용했던 물이며, 지금도 해수욕장의 피서객들이 가끔 이용하고 있다. 시멘트로 사각모양의 통을 만들어 용출하는 물과 바닷물이 섞이지 않게 했지만, 바위에 가려져 있고, 안내판이 없어 그냥 지나치기가 쉽다. 주변 갯바위에 해초가 풍부해 주민들이 찾는 곳이며, 이 물 바로 위에는 해수욕한 다음 몸을 헹구는 용도로 이용하였던 집자리 형태의 천연동굴이 있다."
알물,조천읍 함덕리 산 1번지,126°40′28.17″,33°32′43.59″,서우봉 아래에 솟는 알물,"‘알물’은 4구 앞 서우봉 서쪽 가에 위치해 있지만 잠깐 단물이 나오고 밀물이 되면 해수가 유입되어 거의 짠맛이 돌아 식수보다는 목욕하는 물로 이용하였다. 지금은 여름철 해수욕 후 손발을 행구는 장소로만 이용한다. 이물은 평사동 와요지에서 기와를 구웠던 사람과 서우봉에 있는 서산봉수를 드나들었던 사람들이 이용했던 물로도 추정된다. 그리고 평사동에 마을이 형성되면서 식수와 생활용수로 이용해 왔다. 17세부터 해녀를 했다고 하는 함덕리 주민도 ‘알물’이 식수로는 적당치 않았다고 기억한다. 조사를 나갔을 때에도 바닷물이 밀물이 아닌 시간인데도 가장 윗칸의 물맛을 보니 짭짤하다. “건 먹지 못해. 그 딘, 짠물 들어 왕. 물 싸불민 그 디 강 목욕들만 허여.” 2015년 개보수 하면서 둥그렇게 담을 쌓아 바닷물의 유입을 막고 있다. 안으로 들어가면 사각통의 식수 구간과 생활용수 구간으로 나누어져 있다. 안에는 직육면체로 깎아 만든 검은 돌 두 개를 양 옆에 놓았는데, 물팡을 재현한 것인지 아니면 휴식용으로 놓은 의자인지 모르게 물통의 모습과는 어울리지 않는 시설물인 것 같다. 비닐과 쪼개진 스트로폴의 작은 알갱이들이 모래와 뒤섞여 물통바닥을 덮고 있었는데, 바닷가 쓰레기들이 물통 안으로 밀려와 빠져나가지 못하여 금방 쓰레기통이 되는 건 아닌지 걱정스럽다."
