사업장명,전화번호,소재지면적,지번주소,도로명주소,위생업태명,시설총규모,영업상태명,폐업일자,위도,경도
굽다,,98.05,경상남도 김해시 관동동 1107-8번지,"경상남도 김해시 율하카페길 105-29, 1층 (관동동)",한식,98.05,영업/정상,,35.1770709000 ,128.8157184000 
길'S 분식,,45,경상남도 김해시 삼계동 1448-1번지,경상남도 김해시 가야로147번길 14 (삼계동),기타,45,영업/정상,,35.2644833900 ,128.8732728000 
사랑담은밥상,055-321-1294,33.6,경상남도 김해시 내동 131-17번지,경상남도 김해시 금관대로1365번길 4-21 (내동),한식,33.6,영업/정상,,35.2455684600 ,128.8662681000 
디디씨치킨 구산점,055-326-3535,76,경상남도 김해시 구산동 257번지,"경상남도 김해시 가락로 229, 1층 101호 (구산동, 백조2상가)",통닭(치킨),76,영업/정상,,35.2453994800 ,128.8734633000 
청년,055-313-2788,68.67,경상남도 김해시 부원동 937번지,"경상남도 김해시 김해대로 2342, 3층 c308호 (부원동, 아이스퀘어몰)",분식,68.67,영업/정상,,35.2257700200 ,128.8829745000 
오 마이 갓(oh my god) 개미,,123.75,경상남도 김해시 진영읍 진영리 1594-6번지,경상남도 김해시 진영읍 김해대로321번길 4-18,통닭(치킨),123.75,영업/정상,,35.3072922900 ,128.7260315000 
사계절국수,,99.4,경상남도 김해시 대청동 800-53번지,경상남도 김해시 대청계곡길 167 (대청동),한식,99.4,영업/정상,,35.1838162700 ,128.7769730000 
해운대 시원한 대구탕,055-338-9001,121.6,경상남도 김해시 삼방동 1099번지,경상남도 김해시 인제로 425 (삼방동),한식,121.6,영업/정상,,35.2650993200 ,128.8962495000 
치킨의민족 칠산서부동점,055-905-3332,39.32,경상남도 김해시 풍유동 432-8번지,경상남도 김해시 칠산로413번길 34-5 (풍유동),통닭(치킨),39.32,영업/정상,,35.2093257100 ,128.8493969000 
돈돈정,055-322-1164,124.08,경상남도 김해시 관동동 1102-8번지,경상남도 김해시 율하카페길 85-13 (관동동),일식,124.08,영업/정상,,35.1765709600 ,128.8136604000 
송프로피자&옛날통닭,055-343-9289,31.25,경상남도 김해시 진영읍 여래리 710-21번지,경상남도 김해시 진영읍 진영로 212,통닭(치킨),31.25,영업/정상,,35.3025540900 ,128.7359291000 
오븐마루 내동점,055-334-9282,55.12,경상남도 김해시 내동 1121-2번지 101호,"경상남도 김해시 경원로55번길 6, 101호 (내동)",호프/통닭,55.12,영업/정상,,35.2376616000 ,128.8664915000 
배꼽시계,055-343-3007,46.97,경상남도 김해시 진영읍 진영리 1519,경상남도 김해시 진영읍 김해대로332번길 13,한식,46.97,영업/정상,,35.3066032000 ,128.7252006000 
홍짜장,055-344-1121,123,경상남도 김해시 진영읍 진영리 1594-4번지,경상남도 김해시 진영읍 김해대로321번길 4-12,한식,123,영업/정상,,35.3073121600 ,128.7257237000 
어방분식당,055-328-0229,28,경상남도 김해시 어방동 1088-8번지,경상남도 김해시 인제로91번길 16 (어방동),한식,28,영업/정상,,35.2366939900 ,128.9026273000 
처갓집양념치킨 삼방시장점,,9,경상남도 김해시 삼방동 667-7,경상남도 김해시 삼안로 237 (삼방동),통닭(치킨),9,영업/정상,,35.2490932700 ,128.9103578000 
장수녹각삼계탕,055-331-4060,192.28,경상남도 김해시 상동면 매리 1286번지,경상남도 김해시 상동면 동북로635번길 11-3,한식,192.28,영업/정상,,35.3284354000 ,128.9612603000 
함경도찹쌀순대,055-339-3477,45.39,경상남도 김해시 서상동 190-11번지,경상남도 김해시 가락로 114 (서상동),한식,45.39,영업/정상,,35.2367445900 ,128.8811160000 
뉴밀양돼지국밥,,200,경상남도 김해시 한림면 가산리 610-6번지,경상남도 김해시 한림면 장방로 79,한식,200,영업/정상,,35.3206188000 ,128.7648092000 
모로코식당,,70,경상남도 김해시 서상동 160-4번지,경상남도 김해시 가락로93번길 10 (서상동),패스트푸드,70,영업/정상,,35.2348226300 ,128.8801503000 
옛날아우내순대김해장유점,055-333-4492,101.25,경상남도 김해시 부곡동 1159-1번지 새미래네오피아 201호,"경상남도 김해시 능동로155번길 10-15, 201호 (부곡동, 새미래네오피아)",한식,101.25,영업/정상,,35.2035969900 ,128.8080219000 
시장칼국수,055-338-9883,89.32,경상남도 김해시 율하동 1366-6번지,경상남도 김해시 율하2로126번길 12 (율하동),한식,89.32,영업/정상,,35.1686199300 ,128.8150850000 
쿠우쿠우김해점,055-313-6274,442.87,"경상남도 김해시 내동 1120-2번지 601,602호","경상남도 김해시 내외로77번길 22, 601,602호 (내동)",일식,442.87,영업/정상,,35.2366714700 ,128.8662942000 
아메리카노,,53.5,경상남도 김해시 부원동 603-2번지,경상남도 김해시 가락로23번길 7 (부원동),식육(숯불구이),53.5,영업/정상,,35.2283584000 ,128.8815525000 
수선가,,60.9,경상남도 김해시 이동 504-2번지,경상남도 김해시 칠산로179번길 69 (이동),한식,60.9,영업/정상,,35.1931358700 ,128.8404544000 
푸짐한집,055-342-8246,33,경상남도 김해시 한림면 장방리 333-16번지,경상남도 김해시 한림면 한림로 366,한식,33,영업/정상,,35.3201836500 ,128.8026713000 
푸른소반,055-332-4777,94.21,경상남도 김해시 상동면 우계리 1048-6번지,경상남도 김해시 상동면 상동로 224,한식,94.21,영업/정상,,35.3017511400 ,128.8960713000 
금마루,055-333-5101,244.17,경상남도 김해시 구산동 1065-5번지,경상남도 김해시 해반천로 4 (구산동),한식,244.17,영업/정상,,35.2494427000 ,128.8702762000 
권선생 닭.com,055-312-3182,91,경상남도 김해시 대청동 301-6번지 새미래트윈스빌딩101호,"경상남도 김해시 삼문로 11 (대청동, 새미래트윈스빌딩101호)",한식,91,영업/정상,,35.1925144800 ,128.8018835000 
리얼펍 율하점,,121.86,경상남도 김해시 율하동 1388-12번지 1층,"경상남도 김해시 율하2로236번길 34, 1층 (율하동)",까페,121.86,영업/정상,,35.1764993200 ,128.8229147000 
봉구비어아이스퀘어점,,54.48,경상남도 김해시 부원동 937번지,"경상남도 김해시 김해대로 2342, 1층 A105호 (부원동, 아이스퀘어몰)",호프/통닭,54.48,영업/정상,,35.2257700200 ,128.8829745000 
통큰 대구 막창(구산점),055-336-9369,50.6,경상남도 김해시 구산동 1077번지 109동 103호,"경상남도 김해시 김해대로1902번길 88, 103호 (구산동, 구산이진캐스빌1단지아파트 109동상가)",호프/통닭,50.6,영업/정상,,35.2497552200 ,128.8669280000 
춘계춘천닭갈비,055-324-6551,128.31,경상남도 김해시 외동 1183-8번지,경상남도 김해시 함박로11번길 27 (외동),한식,128.31,영업/정상,,35.2355337500 ,128.8577236000 
일번가전골,055-333-3389,57.51,경상남도 김해시 대청동 71-1번지 네오프라자202호-1,"경상남도 김해시 번화1로84번길 34 (대청동, 네오프라자202호-1)",한식,57.51,영업/정상,,35.1956356100 ,128.8029026000 
제일식당,,54.82,경상남도 김해시 생림면 봉림리 635-8번지,경상남도 김해시 생림면 봉림로 26,한식,54.82,영업/정상,,35.3267419700 ,128.8493275000 
백년갈비,055-338-9289,170.8,경상남도 김해시 내동 1121-1번지 동산빌딩 102호,"경상남도 김해시 경원로55번길 8, 102호 (내동, 동산빌딩)",한식,170.8,영업/정상,,35.2379045600 ,128.8665490000 
부유정장어구이,055-331-1919,54.15,경상남도 김해시 불암동 184-13번지,경상남도 김해시 대동로 19-1 (불암동),한식,54.15,영업/정상,,35.2227793500 ,128.9295942000 
화이트클래스,055-312-9379,104.1,경상남도 김해시 부곡동 1158-1번지 신화빌딩 203호,"경상남도 김해시 장유로 226, 203호 (부곡동, 신화빌딩)",기타,104.1,영업/정상,,35.2039790700 ,128.8088494000 
이봉진주냉면,055-347-7767,139.96,경상남도 김해시 진영읍 진영리 1624-10번지,경상남도 김해시 진영읍 김해대로407번길 4-15,기타,139.96,영업/정상,,35.3073580300 ,128.7345322000 
안젤로,055-322-7440,216.4,"경상남도 김해시 외동 1259-2번지 힐튼상가 303,304호","경상남도 김해시 함박로119번길 23, 303,304호 (외동)",기타,216.4,영업/정상,,35.2340770100 ,128.8673322000 
인제대박대패삼겹살,055-312-9234,166.83,경상남도 김해시 삼방동 161-1번지,경상남도 김해시 활천로255번길 61-25 (삼방동),식육(숯불구이),166.83,영업/정상,,35.2475936100 ,128.9048030000 
매직,055-332-9292,207.6,"경상남도 김해시 어방동 463-2번지 나라타워 5층 501,502호","경상남도 김해시 인제로 196, 5층 501,502호 (어방동, 나라타워)",경양식,207.6,영업/정상,,35.2460930100 ,128.9041710000 
새벽집구이 전문점,055-343-9754,108,경상남도 김해시 진영읍 진영리 1603-1,경상남도 김해시 진영읍 김해대로335번길 4,한식,108,영업/정상,,35.3072341000 ,128.7267127000 
조방낙지,055-322-2159,64.57,경상남도 김해시 삼방동 689-14번지,경상남도 김해시 삼안로217번길 10-1 (삼방동),한식,64.57,영업/정상,,35.2472745100 ,128.9100847000 
산들애,,60.3,경상남도 김해시 삼정동 139-2번지 외1필지,경상남도 김해시 활천로68번길 39 (삼정동),한식,60.3,영업/정상,,35.2343618100 ,128.8974598000 
덤앤덤매운갈비찜&친절한상희씨,,82.94,경상남도 김해시 삼문동 82-12번지,"경상남도 김해시 능동로37번길 7-14, 1층 (삼문동)",분식,42.97,영업/정상,,35.1973913200 ,128.7963969000 
강남시락국밥,055-343-7556,66,경상남도 김해시 진례면 담안리 593-5번지,경상남도 김해시 진례면 고모로 357,한식,66,영업/정상,,35.2583609500 ,128.7687945000 
범프리카인생치킨 진영점,055-346-2224,45,경상남도 김해시 진영읍 진영리 623-1번지 거성아파트 상가동 102호,"경상남도 김해시 진영읍 진영로 6, 102호 (거성아파트)",통닭(치킨),45,영업/정상,,35.3044967700 ,128.7141418000 
영푸드,055-342-0969,105,경상남도 김해시 한림면 가산리 753-6번지 1층,"경상남도 김해시 한림면 장방로 47, 1층",한식,105,영업/정상,,35.3190218900 ,128.7621876000 
부산산곰장어,055-311-8889,26,경상남도 김해시 대청동 71-1번지 네오프라자 119호,경상남도 김해시 번화1로84번길 34 (네오프라자 119호),한식,26,영업/정상,,35.1956356100 ,128.8029026000 
지하소주방,,117.13,경상남도 김해시 삼방동 667-8번지 지하1층,"경상남도 김해시 삼안로 237-1, 지하1층 (삼방동)",경양식,117.13,영업/정상,,35.2492374000 ,128.9103704000 
선바우삼계탕,055-334-0620,74.13,경상남도 김해시 불암동 450-50번지,경상남도 김해시 식만로 369 (불암동),한식,74.13,영업/정상,,35.2212822500 ,128.9249966000 
대황양곱창,055-337-2778,35.17,경상남도 김해시 내동 1078-10번지,경상남도 김해시 우암로141번길 2 (내동),기타,35.17,영업/정상,,35.2417643000 ,128.8663045000 
순곱이네(장유점),,110.18,,경상남도 김해시 내덕로7번길 7 (무계동),한식,110.18,영업/정상,,,
통영굴구이포차,055-313-9879,80.38,,경상남도 김해시 내덕로4번길 3-18 (무계동),기타,80.38,영업/정상,,,
북면자연농원장유점,055-339-6252,154.91,"경상남도 김해시 대청동 302-1번지 1층 105호,106호,107호","경상남도 김해시 번화1로 46, 1층 105,106,107호 (대청동)",한식,154.91,영업/정상,,35.1915372500 ,128.8010833000 
장군숯불갈비,055-331-1515,135.44,경상남도 김해시 지내동 314-5번지,"경상남도 김해시 분성로727번길 8-13, 1층 (지내동)",식육(숯불구이),135.44,영업/정상,,35.2309824600 ,128.9224812000 
리틀로드(Little Road),,102.02,경상남도 김해시 삼문동 87-6번지 1층 101호,"경상남도 김해시 능동로37번길 8, 1층 101호 (삼문동)",기타,102.02,영업/정상,,35.1974574200 ,128.7973090000 
식이네야식,055-342-2115,29.99,경상남도 김해시 진영읍 진영리 375번지 삼성타워 상가동 105호,"경상남도 김해시 진영읍 진영로 98-6, 105호 (삼성타워 상가동)",분식,29.99,영업/정상,,35.3033342300 ,128.7231811000 
도야족발 어방점,055-321-0323,124,경상남도 김해시 어방동 1089-11번지,"경상남도 김해시 분성로517번길 17-1, 1층 (어방동)",한식,124,영업/정상,,35.2371446500 ,128.9026323000 
두부마을민속촌,,126.02,,경상남도 김해시 관동로27번길 4-4 (관동동),한식,126.02,영업/정상,,,
아오이,055-332-0084,69.12,경상남도 김해시 구산동 1065-11번지,"경상남도 김해시 구산로19번길 1, 1층 (구산동)",회집,69.12,영업/정상,,35.2490530000 ,128.8705687000 
직진고기,055-335-2277,180,경상남도 김해시 구산동 1065-11번지,"경상남도 김해시 구산로19번길 1, 1층 (구산동)",식육(숯불구이),180,영업/정상,,35.2490530000 ,128.8705687000 
좋은하루,055-312-5618,122.11,경상남도 김해시 어방동 532-7번지,경상남도 김해시 인제로170번길 20 (어방동),식육(숯불구이),122.11,영업/정상,,35.2437169100 ,128.9061004000 
내담 (대구뽈찜·아구해물찜),,43.86,경상남도 김해시 부곡동 1163-5번지 106호,"경상남도 김해시 월산로 13-11, 1층 106호 (부곡동)",통닭(치킨),43.86,영업/정상,,35.2008201900 ,128.8107838000 
카라반르몽드,055-311-5588,82.29,경상남도 김해시 어방동 986번지,경상남도 김해시 가야테마길 161 (어방동),한식,82.29,영업/정상,,35.2516330000 ,128.8937494000 
대성식당,,42.3,경상남도 김해시 진례면 담안리 933-1번지,경상남도 김해시 진례면 고모로327번길 32,한식,42.3,영업/정상,,35.2583348300 ,128.7643873000 
와이빠,055-323-3272,80.64,경상남도 김해시 내동 1119-1 401호,"경상남도 김해시 내외중앙로 75, 401호 (내동)",호프/통닭,80.64,영업/정상,,35.2368033600 ,128.8667570000 
신세계식당,055-311-0845,19.2,경상남도 김해시 동상동 894-1번지,경상남도 김해시 분성로335번길 22 (동상동),한식,19.2,영업/정상,,35.2355161700 ,128.8826957000 
OK도매횟집,055-327-1335,36,경상남도 김해시 무계동 156-5번지 석봉마을 1013동 118호,"경상남도 김해시 금관대로599번길 17, 1013동 118호 (무계동, 석봉마을)",일식,36,영업/정상,,35.2019476300 ,128.8120250000 
고집센그집갈비탕 김해장유점,055-323-0884,517.37,"경상남도 김해시 부곡동 809-2번지 , 1층","경상남도 김해시 장유로 182, 1층 (부곡동)",한식,517.37,영업/정상,,35.2069385800 ,128.8057157000 
팔판포차,055-4034-8305,47.04,경상남도 김해시 관동동 450-3 부자빌딩2 101호,"경상남도 김해시 계동로23번길 19-14, 101호 (관동동, 부자빌딩2)",호프/통닭,47.04,영업/정상,,35.1775858600 ,128.7952482000 
예향정율하점,055-312-5846,122.96,경상남도 김해시 관동동 1104-6번지,경상남도 김해시 율하카페길 89-18 (관동동),한식,122.96,영업/정상,,35.1767558900 ,128.8143100000 
돈대박,055-334-4981,83.57,경상남도 김해시 삼정동 656-11번지,경상남도 김해시 인제로25번길 39 (삼정동),회집,83.57,영업/정상,,35.2303709000 ,128.9007884000 
엄마손식당,,87,경상남도 김해시 한림면 안하리 673-15번지,경상남도 김해시 한림면 안하로 27,한식,87,영업/정상,,35.3038837500 ,128.8284271000 
초량갈비,055-326-0087,122.64,경상남도 김해시 대청동 301-5번지 트윈스빌딩 106호,"경상남도 김해시 삼문로 9, 1층 106호 (대청동, 트윈스빌딩)",한식,122.64,영업/정상,,35.1924174400 ,128.8015641000 
피자나라치킨공주(내외동점),,23.11,경상남도 김해시 외동 1187-13번지,경상남도 김해시 함박로 49 (외동),호프/통닭,23.11,영업/정상,,35.2331234800 ,128.8594889000 
지코바부원점,055-329-0737,60.02,경상남도 김해시 부원동 61-69번지,경상남도 김해시 호계로463번길 13-1 (부원동),호프/통닭,60.02,영업/정상,,35.2307011800 ,128.8841375000 
백송화반,055-342-9816,100,경상남도 김해시 진영읍 진영리 1589-3번지,경상남도 김해시 진영읍 진산대로26번길 3-10,한식,100,영업/정상,,35.3090718500 ,128.7253986000 
삼거리뷔페식당,055-342-6200,73.5,경상남도 김해시 한림면 안하리 677-1번지,경상남도 김해시 한림면 안하로 42,한식,73.5,영업/정상,,35.3043674200 ,128.8275633000 
칠공팔공 포차,055-337-8054,39.7,경상남도 김해시 부원동 608-3번지,경상남도 김해시 가락로24번길 4 (부원동),기타,39.7,영업/정상,,35.2284386700 ,128.8829045000 
명자비어,055-343-2236,84.17,경상남도 김해시 진영읍 여래리 711-18번지,"경상남도 김해시 진영읍 진영로 216-1, 2층",호프/통닭,84.17,영업/정상,,35.3023606400 ,128.7366091000 
짬뽕1번지,055-327-2234,91,경상남도 김해시 대청동 301-5번지 트윈스빌딩 109호,"경상남도 김해시 삼문로 9, 109호 (대청동, 트윈스빌딩)",중국식,91,영업/정상,,35.1924174400 ,128.8015641000 
삼산식육식당,,24.8,경상남도 김해시 삼계동 1471-5번지,경상남도 김해시 해반천로144번길 9-5 (삼계동),식육(숯불구이),24.8,영업/정상,,35.2613646400 ,128.8682608000 
바인,055-344-5000,281.79,경상남도 김해시 부원동 1047번지 지하1층,"경상남도 김해시 김해대로 2360, 지하1층 (부원동)",까페,281.79,영업/정상,,35.2260249900 ,128.8850864000 
장어랑조개랑,055-333-0104,88.58,경상남도 김해시 구산동 1068-9번지,경상남도 김해시 구산로39번길 13-16 (구산동),기타,88.58,영업/정상,,35.2495121800 ,128.8718922000 
명인감자탕&뼈구이,055-312-2258,289.8,"경상남도 김해시 율하동 1351-4 경원프라자, 2층","경상남도 김해시 율하3로 54 (율하동, 경원프라자, 2층)",한식,289.8,영업/정상,,35.1724408500 ,128.8152439000 
캣츠,055-332-2231,67,경상남도 김해시 대청동 314-1번지 사파이어빌딩 204호,"경상남도 김해시 번화1로44번길 26, 2층 204호 (대청동, 사파이어빌딩)",기타,67,영업/정상,,35.1916124500 ,128.8033351000 
24시 해장국,055-313-8381,99.28,경상남도 김해시 내동 1122-1번지 101호,"경상남도 김해시 내외중앙로 89, 101호 (내동)",한식,99.28,영업/정상,,35.2378746000 ,128.8669552000 
교촌치킨율하점,055-323-2388,122.72,경상남도 김해시 관동동 1106-5번지,경상남도 김해시 관동로 110 (관동동),한식,122.72,영업/정상,,35.1773529100 ,128.8153370000 
다온돼지국밥,055-338-7971,90.72,경상남도 김해시 주촌면 덕암리 512-4번지,경상남도 김해시 주촌면 서부로1637번길 299-6,한식,90.72,영업/정상,,35.2562075200 ,128.8220395000 
누부야김밥분식,055-338-0822,91.15,경상남도 김해시 부원동 608-22,경상남도 김해시 김해대로2355번길 15 (부원동),한식,91.15,영업/정상,,35.2280808900 ,128.8837575000 
지엔오,055-321-7781,115.44,경상남도 김해시 구산동 1051-2번지 탑스존 403호,"경상남도 김해시 삼계로 30, 403호 (구산동, 탑스존)",까페,115.44,영업/정상,,35.2570918100 ,128.8695448000 
홍S쭈꾸미(젤미점),,66.6,경상남도 김해시 대청동 61-7번지 센타빌딩 101호,"경상남도 김해시 번화1로79번길 2, 1층 101호 (대청동, 센타빌딩)",한식,66.6,영업/정상,,35.1944342200 ,128.7992011000 
차메이,055-321-9774,106.15,경상남도 김해시 관동동 1093-4번지,경상남도 김해시 율하카페길 67-14 (관동동),중국식,106.15,영업/정상,,35.1769611900 ,128.8119297000 
강가네,055-323-3825,70.4,경상남도 김해시 주촌면 농소리 637-2번지,경상남도 김해시 주촌면 골든루트로 74,한식,70.4,영업/정상,,35.2130084900 ,128.8305107000 
목화식당,,39.76,경상남도 김해시 삼정동 13-5번지 2층,"경상남도 김해시 분성로 441, 2층 (삼정동)",한식,39.76,영업/정상,,35.2351554500 ,128.8937551000 
진짜장,055-344-0762,50.7,경상남도 김해시 진영읍 의전리 174-4번지,경상남도 김해시 진영읍 서부로 394-6,한식,50.7,영업/정상,,35.2672810900 ,128.7536565000 
우리동네,,61.2,경상남도 김해시 삼방동 176-5번지,경상남도 김해시 삼안로195번길 36 (삼방동),호프/통닭,61.2,영업/정상,,35.2450529700 ,128.9082359000 
김해 쭈꾸미본색 삼계점,055-337-7623,228.08,경상남도 김해시 삼계동 1511-7,경상남도 김해시 삼계로69번길 11 (삼계동),한식,228.08,영업/정상,,35.2591961100 ,128.8727324000 
친구사이(7942)포차,055-342-9809,99.45,경상남도 김해시 진영읍 진영리 1603-5,경상남도 김해시 진영읍 김해대로335번길 4-12,호프/통닭,99.45,영업/정상,,35.3071856600 ,128.7272731000 
논두렁(진영점),055-346-0523,121.04,경상남도 김해시 진영읍 진영리 1586-18번지,경상남도 김해시 진영읍 장등로19번길 85-1,한식,121.04,영업/정상,,35.3102507800 ,128.7272126000 
산 꼼장어,,99.54,경상남도 김해시 구산동 1068-5번지,경상남도 김해시 구산로27번길 10 (구산동),한식,99.54,영업/정상,,35.2496754500 ,128.8717511000 
통영횟집,055-313-9787,120.76,경상남도 김해시 율하동 1358-10번지,경상남도 김해시 율하3로8번길 30 (율하동),일식,120.76,영업/정상,,35.1687983600 ,128.8140219000 
함흥냉면,055-313-2156,46.02,경상남도 김해시 대청동 306-11번지,경상남도 김해시 계동로 222 (대청동),식육(숯불구이),46.02,영업/정상,,35.1903654000 ,128.8024443000 
레인보우,,64.55,경상남도 김해시 외동 703-2번지 2층,"경상남도 김해시 평전로 18, 2층 (외동)",호프/통닭,64.55,영업/정상,,35.2338522300 ,128.8520479000 
토시래 김해진영점,055-345-7825,145.45,경상남도 김해시 진영읍 진영리 1601-8,경상남도 김해시 진영읍 김해대로335번길 4-19,한식,145.45,영업/정상,,35.3073813700 ,128.7277037000 
철판집,055-338-7891,50.65,경상남도 김해시 대청동 328-4번지,경상남도 김해시 대청로104번길 23-13 (대청동),식육(숯불구이),50.65,영업/정상,,35.1866139800 ,128.7999589000 
민속주점 시원,055-339-3936,85.57,경상남도 김해시 대청동 71-9 엔플러스2빌딩 201호,"경상남도 김해시 번화1로68번길 19, 201호 (대청동, 엔플러스2빌딩)",정종/대포집/소주방,85.57,영업/정상,,35.1943522200 ,128.8020553000 
영주해물손칼국수,055-328-1570,75.67,경상남도 김해시 율하동 1320-8번지,경상남도 김해시 율하1로81번길 4-15 (율하동),식육(숯불구이),75.67,영업/정상,,35.1743849700 ,128.8143412000 
훈스시,055-312-9282,119.93,경상남도 김해시 무계동 154-10번지,경상남도 김해시 내덕로4번길 9 (무계동),일식,119.93,영업/정상,,35.2041788700 ,128.8099716000 
케미,055-328-0016,134.1,경상남도 김해시 부원동 937,"경상남도 김해시 김해대로 2342, 3층 C316호 (부원동, 아이스퀘어몰)",기타,134.1,영업/정상,,35.2257700200 ,128.8829745000 
맛있는친구들:자담치킨,055-312-9919,44.34,,"경상남도 김해시 대청로 121 (대청동, 대청프라자B동208호)",통닭(치킨),44.34,영업/정상,,,
호야네뒷고기,,27,경상남도 김해시 서상동 180-5번지,경상남도 김해시 가락로 111-4 (서상동),기타,27,영업/정상,,35.2366388300 ,128.8807852000 
해룡반점,055-331-1924,24,경상남도 김해시 삼계동 1421-7번지,경상남도 김해시 가야로30번길 21 (삼계동),중국식,24,영업/정상,,35.2678485500 ,128.8640876000 
미미식당,070-4388-9005,53.4,경상남도 김해시 진영읍 진영리 1600-10번지,경상남도 김해시 진영읍 진산대로26번길 28-18,한식,53.4,영업/정상,,35.3077351500 ,128.7273330000 
가이오국수,,66.15,경상남도 김해시 삼방동 570-1번지,경상남도 김해시 삼안로 309 (삼방동),분식,66.15,영업/정상,,35.2518670100 ,128.9046967000 
큐브,,12.95,경상남도 김해시 내동 1117-1번지 경보스포츠프라자 1601호,"경상남도 김해시 내외로77번길 12, 16층 1601호 (내동, 경보스포츠프라자)",기타,12.95,영업/정상,,35.2356092400 ,128.8660961000 
세인즈가든,055-339-4004,289.9,경상남도 김해시 대청동 774-1번지 외1필지,경상남도 김해시 대청계곡길 195-102 (대청동),경양식,289.9,영업/정상,,35.1830493700 ,128.7686213000 
고성아지매찜(장유점),055-903-6009,97.98,경상남도 김해시 삼문동 72-16,"경상남도 김해시 능동로7번길 8-17, 1층 (삼문동)",한식,97.98,영업/정상,,35.1968599100 ,128.7949641000 
수진식당정식,055-334-0798,51.84,경상남도 김해시 상동면 매리 974-42번지 외1필지,,한식,51.84,영업/정상,,35.3013071600 ,128.9460073000 
하은이네 명품 시락국밥,055-337-2882,106.28,경상남도 김해시 내동 1102-13번지,경상남도 김해시 내외로 5 (내동),한식,106.28,영업/정상,,35.2368345200 ,128.8586052000 
포케앤샐러두,,56.3,경상남도 김해시 외동 701-14,경상남도 김해시 금관대로1183번길 6 (외동),한식,56.3,영업/정상,,35.2332101100 ,128.8523488000 
한잔술애,055-337-2533,36,경상남도 김해시 외동 1260-1번지 덕산베스트타운 207동주상가 110호,"경상남도 김해시 함박로 121, 110호 (외동, 덕산베스트타운 207동주상가)",기타,36,영업/정상,,35.2341349800 ,128.8680470000 
흥동마루횟집,055-333-7767,27.12,경상남도 김해시 흥동 391-7번지,경상남도 김해시 흥동로 133 (흥동),회집,27.12,영업/정상,,35.2222351000 ,128.8632076000 
산수촌,,68,경상남도 김해시 대성동 372번지,경상남도 김해시 구지로148번길 8 (대성동),한식,68,영업/정상,,35.2379288700 ,128.8794039000 
모래휴게실,,50.8,경상남도 김해시 삼방동 183-1번지,경상남도 김해시 활천로267번길 6-30 (삼방동),한식,50.8,영업/정상,,35.2442430300 ,128.9092597000 
페스티발,,99.3,"경상남도 김해시 무계동 149-15번지 , 1층","경상남도 김해시 내덕로7번길 19-26, 1층 (무계동)",호프/통닭,99.3,영업/정상,,35.2050588500 ,128.8091347000 
형제오리농장,055-313-5286,126.42,"경상남도 김해시 삼문동 87-4번지 , 1층","경상남도 김해시 번화1로123번길 3-14, 1층 (삼문동)",한식,126.42,영업/정상,,35.1973569700 ,128.7975057000 
내가조선의짱어다,055-337-1230,158.79,"경상남도 김해시 내동 1141-2번지 태성레스파빌딩 101,102호","경상남도 김해시 경원로73번길 7, 101,102호 (내동, 태성레스파빌딩)",한식,158.79,영업/정상,,35.2374705300 ,128.8679947000 
브쿠스노프(BKYCHOFF),055-343-8226,124.34,경상남도 김해시 진영읍 진영리 1635-10번지,경상남도 김해시 진영읍 장등로6번길 49,기타,124.34,영업/정상,,35.3107287100 ,128.7361023000 
안동본가국밥장유점,055-323-0059,91,"경상남도 김해시 대청동 315-7번지 , 나오스빌 102호","경상남도 김해시 번화1로44번길 23, 102호 (대청동, 나오스빌)",한식,91,영업/정상,,35.1919831700 ,128.8031630000 
맥돈가,055-326-8971,66.69,경상남도 김해시 부원동 937 부원역푸르지오아이스퀘어몰 A106호,"경상남도 김해시 김해대로 2342, A106호 (부원동, 부원역푸르지오아이스퀘어몰)",식육(숯불구이),66.69,영업/정상,,35.2257700200 ,128.8829745000 
이튼플레이,055-325-6222,324.7,경상남도 김해시 율하동 1331-3번지 4층,"경상남도 김해시 율하3로 81, 4층 (율하동)",경양식,324.7,영업/정상,,35.1748332600 ,128.8160364000 
카페이음,055-322-5392,52.38,경상남도 김해시 외동 1203-9번지,경상남도 김해시 함박로 43-1 (외동),통닭(치킨),52.38,영업/정상,,35.2331994200 ,128.8589514000 
제시,,119.6,경상남도 김해시 외동 1257-2번지 305호,경상남도 김해시 내외중앙로 34 (외동),호프/통닭,119.6,영업/정상,,35.2328378300 ,128.8666708000 
원조옥수골메기탕,055-339-3439,137.52,경상남도 김해시 부곡동 30-3번지,경상남도 김해시 서부로 1120-3 (부곡동),한식,137.52,영업/정상,,35.2210552700 ,128.7892248000 
송명가정식뷔페식당,055-342-9195,155,경상남도 김해시 진례면 송현리 276-3번지,경상남도 김해시 진례면 고모로 235,한식,155,영업/정상,,35.2482006400 ,128.7676105000 
만나포차,055-328-5168,22,경상남도 김해시 삼방동 243-8번지,경상남도 김해시 삼안로154번길 11 (삼방동),한식,22,영업/정상,,35.2428206400 ,128.9149902000 
이가집밥,,98.29,,경상남도 김해시 유하로29번길 12 (내덕동),한식,98.29,영업/정상,,,
바르다김선생김해장유코아점,,51,"경상남도 김해시 부곡동 1161-8번지 , 101호(월드피아)","경상남도 김해시 능동로155번길 2, 101호 (부곡동, 월드피아)",김밥(도시락),51,영업/정상,,35.2026669900 ,128.8082543000 
