위도,경도,cuisine,행정읍면동,name,addr:full,소재지지번주소,phone,주차여부,opening_hours,주메뉴,source:date
37.294094,126.842634,한식,사동,통돼지볶음찌개,경기도 안산시 상록구 댕이길 79-1 (사동),경기도 안산시 상록구 사동 1349-2,031-408-2292,주차 완비,,통돼지 볶음찌개,2019-07-05
37.336201,126.80841,한식,이동,통돼지잡는집,"경기도 안산시 단원구 선부광장1로 30, 112호 (선부동)",경기도 안산시 단원구 선부동 1070-15 단원프라자 112호,031-402-5683,지하1층 주차완비,매일 10:30 ~ 23:00,생삽겹살구이,2019-07-05
37.314287,126.797242,한식,사동,통일칼국수,"경기도 안산시 단원구 동산로 63, 502호(원시동)",경기도 안산시 단원구 원시동 773-9 502호,031-495-5904,60대 주차 가능,"매일 12:00 ~ 16:00, 매주 일요일 휴무","평양식왕만두,칼국수",2019-07-05
37.336951,126.804436,한식,고잔동,한라산도야지,경기도 안산시 단원구 지곡로 23 (선부동),경기도 안산시 단원구 선부동 969-8,031-486-7572,주차 완비,매일 10:00 ~ 22:00,제주오겹살,2019-07-05
37.311699,126.848598,한식,이동,한양복국시,경기도 안산시 상록구 송호1길 93,경기도 안산시 상록구 이동 660-3,031-502-0221,,,"복어탕,복어찜",2019-07-05
37.310147,126.869289,한식,고잔동,한우촌숯불갈비,경기도 안산시 상록구 일동로 23 (일동),경기도 안산시 상록구 일동 630-2,031-501-7326,주차 완비,"매일 10:00 ~ 23:59, 명절 및 여름휴가 휴무","소고기등심, 돼지갈비",2019-07-05
37.332944,126.811352,한식,선부동,해미청,경기도 안산시 단원구 선부광장로 67,경기도 안산시 단원구 선부동 1077-17,031-402-1700,가능,매일 11:00 ~ 23:00,"아구찜,해물찜",2019-07-05
37.293707,126.872239,한식,고잔동,해미청,경기도 안산시 상록구 각골로 47 (본오동),경기도 안산시 상록구 본오동 778-1,031-438-7789,2대 주차 가능,,"아구찜,해물찜",2019-07-05
37.326615,126.845329,한식,성포동,현죽,"경기도 안산시 상록구 예술광장로 63, 110호 (성포동)",경기도 안산시 상록구 성포동 593-6 성포프라자 110호,031-413-8218,주차 완비,"매일 10:00 ~ 21:00, 둘째 넷째 일요일 휴무",죽,2019-07-05
37.315062,126.824721,뷔페식,고잔동,홍록기파티하우스,경기도 안산시 단원구 광덕4로 112 (고잔동),경기도 안산시 단원구 고잔동 681-6,031-487-6868,지하 주차장 및 공영 주차장(300대),"매일 00:00 ~ 23:59, 연중무휴 ",뷔페,2019-07-05
37.312122,126.845905,한식,고잔동,홍익궁중전통육개장(안산이동점본관),"경기도 안산시 상록구 송호3길 3, 1층(이동)",경기도 안산시 상록구 이동 650-6 1층 ,031-409-6669,가능,매일 08: 00 ~ 22:00,궁중전통육개장,2019-07-05
37.306812,126.815073,한식,초지동,홍천감자탕,경기도 안산시 단원구 초지로 90,경기도 안산시 단원구 초지동 735-4,031-410-8116,,,감자탕,2019-07-05
37.308282,126.827771,한식,월피동,홍천덤바우록계탕,"경기도 안산시 단원구 광덕1로 163, 101호 (고잔동)",경기도 안산시 단원구 고잔동 718-1 동남레이크빌II 101호,031-475-3988,지하 주차,,록계탕,2019-07-05
37.308643,126.828244,중국식,고잔동,홍푸,"경기도 안산시 단원구 광덕2로 164-12 (고잔동, 716-5 금바다프라자 2층)",경기도 안산시 단원구 고잔동 716-5  금바다프라자 2층,031-403-3885,주차 완비,매일 11:00 ~ 21:00,"짜장면,탕수육",2019-07-05
37.358612,126.821627,한식,사동,화정동 메밀꽃필무렵,경기도 안산시 단원구 꽃우물1길 20 (화정동),경기도 안산시 단원구 화정동 554-2,031-403-0621,주차 완비,"매일 10:00 ~ 21:30, 연중무휴","메밀막국수,메밀닭칼국수",2019-07-05
37.349027,126.822327,한식,사동,화정동낙지마을,경기도 안산시 단원구 쑥개길 23 (화정동 ),경기도 안산시 단원구 화정동 319-6,031-487-5857,주차 완비,"매일 10:00 ~ 22:00, 연중무휴","산낙지,연포탕",2019-07-05
37.306425,126.815525,한식,초지동,소가네,"경기도 안산시 단원구 초지2로 59, 2층",경기도 안산시 단원구 초지동 734-7 2층,031-483-9295,주차 완비,,소고기,2019-07-05
37.307706,126.816605,한식,초지동,엉클짱왕해물찜,"경기도 안산시 단원구 초지동로 45(초지동 201,202,203)","경기도 안산시 단원구 초지동 733 (초지동 201,202,203)",031-402-8420,주차 완비,,해물찜,2019-07-05
37.349421,126.820746,한식,화정동,콩밭,경기도 안산시 단원구 쑥개길 7(화정동),경기도 안산시 단원구 화정동 315-9,031-475-3434,주차 완비,,콩요리,2019-07-05
37.332555,126.810405,한식,선부동,조선갈비(안산선부점),경기도 안산시 단원구 선부광장로 77(선부동 201호일부),경기도 안산시 단원구 선부동 1077-15 늘봄스위트빌2 201호 일부,031-483-2020,주차 완비,,갈비,2019-07-05
37.283948,126.569486,한식,대부북동,전통우리밀칼국수전문,"경기도 안산시 단원구 대부황금로 1435, 1층(대부북동)",경기도 안산시 단원구 대부북동 1849-36 1층,032-886-2993,주차 완비,,칼국수,2019-07-05
